Name,Brief description,Address,Phone number,Website,Hours,Cost
Boston Medical Center (BMC) Preventive Food Pantry,"This Food Pantry works with BMC patients with special nutritional needs or financial barriers to food. BMC primary care providers must write “prescriptions” for supplemental foods. The Pantry is often used by patients with cancer, HIV/AIDS, hypertension, diabetes, obesity, heart disease and other chronic conditions. May only visit once every two weeks.","Yawkey Ambulatory Care Center at Boston Medical Center Basement, 850 Harrison Ave, Boston, MA 02118",(617) 414-3834 or (617) 414-5263,https://www.bmc.org/nourishing-our-community/preventive-food-pantry,"Monday to Friday, 10:00am-4:00pm","Free, but need “presription” from BMC physician"
Bridge Fridge at The Port,,"157 Windsor St, Cambridge, MA 02139",,https://www.instagram.com/communityforusbyus/,24/7,
Brookline Community Fridge,Located in Brookline Village in front of Brothers & Sisters Co.,"7 Station St, Brookline, MA 02445",,https://www.instagram.com/brooklinecommunityfridge/,24/7,
Cambridge Community Center Food Pantry,"Offer groceries for ~1,000 households each week from the CCC gymnasium. Less than a 10 minute walk from Harvard Square or Central T stop.","5 Callender Street, Cambridge, MA 02139",(617) 547-6811,https://www.cambridgecc.org/food--supply-pantry.html,"M-F, 9am-6pm",Free
Coast Community Fridge,Located at the Cambridge Community Center in Cambridge’s Riverside neighborhood just outside of Central Square.,"5 Callender St, Cambridge, MA 02139",,https://www.instagram.com/cambridgecitygrowers/,24/7,
Earthy Boston’s Fenway Fridge,Located in front of Mei Mei Dumplings in the Fenway area.,"506 Park Dr, Boston, MA 02215",,https://www.instagram.com/earthy.boston/,24/7,
East End House Food Pantry,"This Food Pantry provides individuals and families in need with fresh fruits and vegetables, canned and dry goods, meats, and dairy products. Eligibility: On your first visit, you will be required to fill out an intake form. Please bring your I.D. and a form of income verification. For income verification, we accept a paystub, a Medicare or Mass Health card, a DTA/EBT card, a referral, a benefit statement, or any other document that proves your income status.","105 Spring Street, Cambridge, MA 02141",(617) 876-4444,https://eastendhouse.org/programs-and-services/emergency-food-program/,"Tuesdays and Fridays, 1-2pm","Free, eligibility applies: must present ID (Mass Health, library card, local supermarket card, EBT card, referral, etc.) and proof of residency (mail, bank statement, utility bill, etc.)"
Elnora Yard Food Pantry at St. Paul African Methodist Episcopal Church,"The Elnora Yard Food Pantry provides food up to twice a week for families and individuals in need. The eligibility requirements are proof of residence, a registration client intake form that is renewed every year, and proof of household.","85 Bishop Richard Allen Drive, Cambridge MA 02139",(617) 661-1110,https://st-paul-ame.org/elnora-yard-food-pantry,"3-5pm on Wednesdays, noon-2pm on Thursdays","Free, but must bring proof of residence, a registration client intake form that is renewed every year, and proof of household."
First Church Friday Café,"The Friday Café, a weekly daytime drop-in program, offers a welcoming space where homeless and housed adults can gather and get to know each other. At the Friday Café, people experiencing a wide variety of life circumstances can relax, share a meal, and talk together as friends.","11 Garden Street, Cambridge, MA 02138",(617) 547-2724,https://www.firstchurchcambridge.org/friday-cafe/,Friday noon-3pm,Free
Haley House Food Pantry,"Every Thursday, tickets are distributed to those who interested at 7:00am, and bags are distributed at 10:00am. All are welcome.","23 Dartmouth Street, Boston, MA 02116",(617) 236-8132,https://haleyhouse.org/food-pantry/,"Thursday, tickets at 7am, distribution at 10am",Free
